area_name,position_x,position_y,position,terrain_type,description,requirements,is_minor_area,enemies,items,npcs,connections
Empty,5,3,"(5, 3)",Unknown,Empty tile,,False,,,,
Empty,6,3,"(6, 3)",Unknown,Empty tile,,False,,,,
Empty,7,3,"(7, 3)",Unknown,Empty tile,,False,,,,
Empty,8,3,"(8, 3)",Unknown,Empty tile,,False,,,,
Empty,9,3,"(9, 3)",Unknown,Empty tile,,False,,,,
shadow_domain,0,2,"(0, 2)",TerrainType.RUINS,Shadows move with a life of their own here. Light seems to be absorbed rather than reflected.,shadow_key,False,shadow_stalker,phantom_dagger,,"south → trials_path, east → shadow_training, north → forgotten_temple"
mystic_mountains,1,2,"(1, 2)",TerrainType.MOUNTAIN,The air thins as you climb. Strange energies dance at the edge of perception.,,False,mountain_spirit,crystal_focus,,"south → mountain_base, west → shadow_training, east → crystal_pond, north → enchanted_valley"
crystal_pond,2,2,"(2, 2)",TerrainType.VALLEY,A small pond whose waters glow with inner light. Crystals grow from the surrounding rocks.,,False,crystal_elemental,"mana_crystal, mystic_herbs",,"west → mystic_mountains, north → enchanted_valley, east → meditation_circle"
meditation_circle,3,2,"(3, 2)",TerrainType.VALLEY,"A perfect circle of ancient stones, humming with magical energy. The air itself seems to enhance focus.",mystic_token,False,spirit_guide,"mystic_talisman, spell_focus",,west → crystal_pond
Empty,4,2,"(4, 2)",Unknown,Empty tile,,False,,,,
Empty,5,2,"(5, 2)",Unknown,Empty tile,,False,,,,
Empty,6,2,"(6, 2)",Unknown,Empty tile,,False,,,,
Empty,7,2,"(7, 2)",Unknown,Empty tile,,False,,,,
Empty,8,2,"(8, 2)",Unknown,Empty tile,,False,,,,
Empty,9,2,"(9, 2)",Unknown,Empty tile,,False,,,,
trials_path,0,1,"(0, 1)",TerrainType.FOREST,"Ancient stone markers line this path, each inscribed with forgotten runes.",,False,forest_wolf,healing_herb,,"south → awakening_woods, east → mountain_base, north → shadow_domain"
mountain_base,1,1,"(1, 1)",TerrainType.MOUNTAIN,The terrain becomes rocky as you approach the mountain base. A cool breeze flows down from the peaks.,,False,mountain_goat,climbing_rope,,"south → warriors_camp, west → trials_path, east → training_grounds, north → mystic_mountains"
Empty,2,1,"(2, 1)",Unknown,Empty tile,,False,,,,
Empty,3,1,"(3, 1)",Unknown,Empty tile,,False,,,,
Empty,4,1,"(4, 1)",Unknown,Empty tile,,False,,,,
Empty,5,1,"(5, 1)",Unknown,Empty tile,,False,,,,
Empty,6,1,"(6, 1)",Unknown,Empty tile,,False,,,,
Empty,7,1,"(7, 1)",Unknown,Empty tile,,False,,,,
Empty,8,1,"(8, 1)",Unknown,Empty tile,,False,,,,
Empty,9,1,"(9, 1)",Unknown,Empty tile,,False,,,,
awakening_woods,0,0,"(0, 0)",TerrainType.FOREST,You stand in a ancient forest clearing. The air is thick with magic and mystery.,,False,forest_guardian,"rusty_sword, leather_pouch",,"north → trials_path, east → warriors_camp"
warriors_camp,1,0,"(1, 0)",TerrainType.CLEARING,A small encampment with training equipment and weapon racks. Warriors hone their skills here.,,False,training_dummy,basic_shield,,"west → awakening_woods, north → mountain_base, east → training_grounds"
training_grounds,2,0,"(2, 0)",TerrainType.CLEARING,Advanced training equipment and weapon racks. The ground is packed from countless sparring matches.,,False,veteran_warrior,steel_sword,,"west → warriors_camp, north → mountain_base, east → honor_shrine"
honor_shrine,3,0,"(3, 0)",TerrainType.RUINS,An ancient shrine dedicated to honor and courage. Weapons of legendary warriors decorate the walls.,warrior_token,False,honor_guardian,"warrior_talisman, ancient_sword",,west → training_grounds
Empty,4,0,"(4, 0)",Unknown,Empty tile,,False,,,,
Empty,5,0,"(5, 0)",Unknown,Empty tile,,False,,,,
Empty,6,0,"(6, 0)",Unknown,Empty tile,,False,,,,
Empty,7,0,"(7, 0)",Unknown,Empty tile,,False,,,,
Empty,8,0,"(8, 0)",Unknown,Empty tile,,False,,,,
Empty,9,0,"(9, 0)",Unknown,Empty tile,,False,,,,
